,D1,D2,responses,weight,s-weight
0,0,2287,True,0.01,0.5513373613357544
1,2,4592,True,0.01,0.9778397083282472
2,4,2465,False,0.01,0.0
3,8,5581,False,0.01,0.0
4,8,5547,True,0.01,0.5814329385757446
5,9,3942,True,0.01,0.7781683802604675
6,9,5484,False,0.01,0.6750969886779785
7,11,1730,False,0.01,0.477325826883316
8,11,127,False,0.01,0.5204112529754639
9,14,1341,False,0.01,0.447440505027771
10,14,2407,True,0.01,0.5363883376121521
11,14,3733,False,0.01,0.5424352288246155
12,14,4965,True,0.01,0.9901599884033204
13,16,5113,True,0.01,0.97492653131485
14,17,7721,True,0.01,0.9861909747123718
15,17,4632,False,0.01,0.6792557239532471
16,17,3113,False,0.01,0.696661114692688
17,17,5796,False,0.01,0.6303397417068481
18,17,7777,False,0.01,0.6343398094177246
19,19,5483,False,0.01,0.0
20,19,1910,True,0.01,0.8735172748565674
21,19,4001,False,0.01,0.0
22,20,7386,True,0.01,0.9319697022438048
23,20,6186,False,0.01,0.0
24,21,1076,True,0.01,0.8374207615852356
25,22,733,True,0.01,0.9789924621582032
26,28,7780,False,0.01,0.4710862040519714
27,28,1696,False,0.01,0.4831140637397766
28,28,502,False,0.01,0.393088698387146
29,29,1328,True,0.01,0.9771275520324708
30,29,6236,False,0.01,0.5564548969268799
31,31,3168,True,0.01,0.9720709919929504
32,31,4316,False,0.01,0.8300323486328125
33,31,6586,False,0.01,0.8256741762161255
34,35,7111,False,0.01,0.0
35,35,5096,False,0.01,0.0
36,35,5396,False,0.01,0.0
37,35,6570,False,0.01,0.0
38,35,2014,True,0.01,0.9882416725158693
39,36,7736,True,0.01,0.9506361484527588
40,40,7801,False,0.01,0.0
41,41,6067,True,0.01,0.9632251262664796
42,42,340,True,0.01,0.968612551689148
43,45,4182,True,0.01,0.6614617705345154
44,45,1835,True,0.01,0.711418628692627
45,50,1481,True,0.01,0.7526662349700928
46,50,2577,True,0.01,0.7401523590087891
47,52,696,False,0.01,0.5352470278739929
48,56,2407,True,0.01,0.975548267364502
49,56,4965,True,0.01,0.5793952345848083
50,56,3914,True,0.01,0.6497862935066223
51,56,7497,False,0.01,0.0
52,57,3003,False,0.01,0.6971105337142944
53,57,7615,True,0.01,0.9784310460090636
54,57,6401,False,0.01,0.7521313428878784
55,58,5543,False,0.01,0.0
56,58,1012,False,0.01,0.0
57,61,4589,True,0.01,0.9412707686424256
58,64,958,True,0.01,0.8749116063117981
59,64,1037,False,0.01,0.0
60,67,6589,False,0.01,0.7600029706954956
61,67,5785,False,0.01,0.0
62,67,2306,True,0.01,0.9646111726760864
63,68,787,True,0.01,0.952224850654602
64,68,3399,False,0.01,0.0
65,68,3357,True,0.01,0.8186859488487244
66,68,7457,True,0.01,0.843178391456604
67,69,2651,False,0.01,0.0
68,69,5175,True,0.01,0.8081784248352051
69,69,6470,False,0.01,0.0
70,71,4713,False,0.02,0.6502176523208618
71,71,3552,True,0.01,0.9691725969314576
72,71,5827,False,0.02,0.4995448589324951
73,72,4254,False,0.01,0.0
74,75,1833,False,0.01,0.4303497076034546
75,76,5044,True,0.01,0.9735809564590454
76,76,3638,False,0.01,0.4877289533615112
77,78,6029,False,0.01,0.4440997838973999
78,78,4494,False,0.01,0.662015438079834
79,78,1104,True,0.01,0.9457088708877563
80,79,3583,False,0.01,0.576493501663208
81,79,4028,True,0.01,0.9657740592956544
82,80,1102,False,0.01,0.0
83,80,1721,False,0.01,0.0
84,80,7785,False,0.01,0.0
85,80,302,True,0.01,0.6855744123458862
86,83,232,False,0.01,0.5617498755455017
87,83,907,True,0.01,0.7230175733566284
88,83,1929,True,0.01,0.6710970997810364
89,87,3519,False,0.01,0.5480287671089172
90,89,7772,False,0.01,0.0
91,89,3912,True,0.01,0.7188537120819092
92,91,7213,False,0.01,0.5007791519165039
93,93,5723,False,0.01,0.459122896194458
94,93,5922,False,0.01,0.3479010760784149
95,93,6893,False,0.01,0.0
96,93,5097,True,0.01,0.7418186664581299
97,94,7020,True,0.03,0.9795855283737184
98,94,777,False,0.01,0.5445412397384644
99,96,6555,True,0.01,0.940603256225586
100,97,976,True,0.01,0.6201176643371582
101,97,5652,True,0.01,0.789703369140625
102,98,7364,False,0.01,0.6684740781784058
103,98,6358,True,0.01,0.6643238067626953
104,105,1208,True,0.01,0.8233609199523926
105,109,1125,True,0.01,0.9746447801589966
106,111,5167,True,0.01,0.8883748054504395
107,114,183,True,0.01,0.8569326996803284
108,115,5954,False,0.01,0.0
109,117,6739,True,0.01,0.8018090724945068
110,118,244,True,0.01,0.9825891256332396
111,122,449,False,0.01,0.5567276477813721
112,122,1390,True,0.01,0.978995442390442
