D1,D2,responses,s-weight
181,0,True,1.000000238418579
3255,1,True,0.9958240389823914
3456,2,False,0.5297539830207825
5785,2,False,0.4513670802116394
267,3,False,0.616207480430603
1916,4,False,0.0
2872,5,False,0.0
3345,6,False,0.0
2984,7,True,0.980582594871521
4293,8,True,0.7423287630081177
3457,9,True,0.5260722637176514
4371,10,False,0.593315839767456
1454,11,False,0.6121543645858765
2917,12,True,0.992102861404419
4981,13,False,0.5403228402137756
2073,14,True,0.711150050163269
883,15,False,0.0
5627,16,False,0.548073410987854
5170,17,False,0.4592936635017395
718,18,False,0.6444414854049683
4691,19,False,0.646496593952179
3274,20,False,0.7183592319488525
5758,21,False,0.4742345809936523
1635,22,False,0.0
220,22,False,0.0
1266,23,False,0.6733624935150146
3872,24,True,0.6266789436340332
838,25,False,0.0
2779,26,False,0.5833390951156616
2890,27,True,0.839645504951477
4480,28,False,0.0
1786,29,True,0.9913445711135864
175,30,False,0.6516206860542297
137,31,False,0.444145143032074
4698,32,False,0.0
4279,33,False,0.0
3271,34,False,0.6161548495292664
3271,35,False,0.5953748822212219
1759,36,False,0.551526665687561
5894,37,True,0.98396098613739
3341,38,True,0.9405771493911744
3980,39,False,0.7374863028526306
679,40,False,0.5453248620033264
3383,41,False,0.3778845071792602
1161,41,False,0.0
5701,42,False,0.0
815,43,True,0.8450840711593628
5604,44,False,0.6793535351753235
2143,44,True,0.6851548552513123
1109,45,False,0.4903821051120758
5196,46,False,0.6069573163986206
664,48,False,0.4329074025154114
3654,49,False,0.0
1718,50,False,0.0
653,51,True,0.9939255118370056
1908,52,True,0.7233214974403381
3978,53,False,0.4541997015476227
2915,54,False,0.7245350480079651
1330,55,False,0.6717627048492432
573,56,False,0.4151016175746918
2120,57,False,0.5126893520355225
3743,58,True,0.974479913711548
679,59,False,0.536651074886322
2416,60,False,0.7456771731376648
1583,61,True,0.8773024082183838
1231,62,False,0.6306620836257935
29,63,False,0.0
4517,64,False,0.5480977296829224
4357,65,True,0.8329598903656006
228,66,True,0.9944652915000916
2078,67,False,0.5527557134628296
3898,68,False,0.0
5510,69,False,0.6889967918395996
3637,70,False,0.6415716409683228
268,71,False,0.0
2489,72,False,0.6376234889030457
4315,73,False,0.6119721531867981
2288,74,False,0.6321330666542053
2288,75,False,0.6838328838348389
2017,77,False,0.0
6016,78,True,0.8802802562713623
381,80,False,0.0
4986,81,False,0.0
2721,82,False,0.0
4691,83,False,0.5061825513839722
4706,84,False,0.0
4649,84,False,0.0
3321,84,False,0.4436385929584503
267,85,False,0.6451964974403381
5932,86,False,0.4733770191669464
3543,86,False,0.4330199062824249
3649,87,True,0.669141948223114
1225,88,False,0.0
2809,89,False,0.0
850,90,False,0.5938658714294434
827,91,True,0.990680456161499
3129,92,True,0.9740828275680542
706,93,False,0.0
4000,93,True,0.5128939151763916
2802,94,True,0.7021809816360474
4986,95,False,0.0
1507,96,False,0.0
3898,98,False,0.0
3192,99,False,0.0
1524,100,False,0.4775868058204651
3637,101,False,0.7278397679328918
5074,102,False,0.5478789806365967
1111,103,False,0.6009381413459778
1945,104,False,0.0
3068,106,True,0.8272107243537903
3944,107,False,0.0
4072,107,False,0.0
4431,107,False,0.0
2148,108,False,0.652606725692749
5602,109,True,0.9431251883506776
1665,110,False,0.0
632,111,False,0.4583981335163116
