dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tmdb,D5,gemma3n-z-p2,864.75,66.89,98.85,79.79,1.00,vector_based_examples_dict_1,2688,38.10
imdb,tmdb,D5,gemma3n-ft-p2,1155.89,72.04,95.05,81.96,1.00,vector_based_examples_dict_1,2400,29.04
imdb,tmdb,D5,gemma3n-tf-p2,1155.57,71.87,99.73,83.54,1.00,vector_based_examples_dict_1,2524,29.56
imdb,tmdb,D5,qwen2.5-z-p2,452.07,77.54,83.34,80.34,1.00,vector_based_examples_dict_1,1955,15.50
imdb,tmdb,D5,qwen2.5-ft-p2,460.91,82.13,93.73,87.55,1.00,vector_based_examples_dict_1,2076,9.25
imdb,tmdb,D5,qwen2.5-tf-p2,459.94,81.22,96.04,88.01,1.00,vector_based_examples_dict_1,2151,10.65
imdb,tmdb,D5,llama3.1-z-p2,463.99,57.54,91.70,70.71,1.00,vector_based_examples_dict_1,2899,79.66
imdb,tmdb,D5,llama3.1-ft-p2,470.36,59.28,83.07,69.18,1.00,vector_based_examples_dict_1,2549,79.66
imdb,tmdb,D5,llama3.1-tf-p2,470.77,55.39,97.53,70.65,1.00,vector_based_examples_dict_1,3203,79.66
imdb,tmdb,D5,orca2-z-p2,345.57,73.96,61.85,67.37,1.00,vector_based_examples_dict_1,1520,79.66
imdb,tmdb,D5,orca2-ft-p2,356.38,69.06,61.96,65.31,1.00,vector_based_examples_dict_1,1632,79.66
imdb,tmdb,D5,orca2-tf-p2,354.86,70.53,64.87,67.58,1.00,vector_based_examples_dict_1,1673,79.66
imdb,tmdb,D5,openhermes-z-p2,348.44,66.56,82.30,73.60,1.00,vector_based_examples_dict_1,2249,33.08
imdb,tmdb,D5,openhermes-ft-p2,360.17,70.15,89.94,78.82,1.00,vector_based_examples_dict_1,2332,32.50
imdb,tmdb,D5,openhermes-tf-p2,363.23,63.57,95.05,76.18,1.00,vector_based_examples_dict_1,2720,42.87
imdb,tmdb,D5,zephyr-z-p2,397.53,78.25,71.58,74.76,0.98,vector_based_examples_dict_1,1636,79.66
imdb,tmdb,D5,zephyr-ft-p2,816.50,76.64,39.14,51.82,0.45,vector_based_examples_dict_1,163,79.66
imdb,tmdb,D5,zephyr-tf-p2,613.45,81.17,56.40,66.56,0.56,vector_based_examples_dict_1,422,79.66
