dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
abt,buy,D2,gpt-5.4-ft-p2,71.07,97.72,88.16,92.69,0.10,vector_based_examples_dict_2,876,4.68
abt,buy,D2,gpt-5.4-tf-p2,71.32,96.40,90.94,93.59,0.09,vector_based_examples_dict_2,916,7.10
abt,buy,D2,gpt-5.4-ft-p2,79.27,97.72,88.36,92.81,0.12,join_examples_dict_1,878,5.01
abt,buy,D2,gpt-5.4-tf-p2,172.83,95.74,92.48,94.08,0.06,join_examples_dict_1,938,8.42
abt,buy,D2,gpt-5.4-ft-p2,70.40,96.57,90.01,93.18,0.17,join_examples_dict_2,905,6.85
abt,buy,D2,gpt-5.4-tf-p2,77.14,94.66,91.25,92.92,0.05,join_examples_dict_2,936,10.58
abt,buy,D2,gpt-5.4-z-p2,77.48,96.37,90.32,93.25,0.11,vector_based_examples_dict_1,910,7.25
abt,buy,D2,gpt-5.4-ft-p2,79.81,97.88,85.58,91.32,0.09,vector_based_examples_dict_1,849,4.12
abt,buy,D2,gpt-5.4-tf-p2,70.20,97.75,85.07,90.97,0.06,vector_based_examples_dict_1,845,4.73
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,150.01,97.08,88.98,92.85,0.07,vector_based_examples_dict_1,890,5.96
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,150.01,98.63,81.67,89.35,0.07,vector_based_examples_dict_1,804,2.74
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,142.39,96.16,92.89,94.50,0.10,vector_based_examples_dict_2,938,7.78
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,142.39,98.01,86.20,91.73,0.10,vector_based_examples_dict_2,854,3.75
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,252.10,95.17,93.41,94.28,0.09,join_examples_dict_1,953,10.18
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,252.10,98.38,87.44,92.58,0.09,join_examples_dict_1,863,3.36
abt,buy,D2,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,147.54,94.36,93.00,93.67,0.11,join_examples_dict_2,957,11.60
abt,buy,D2,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,147.54,96.95,88.26,92.40,0.11,join_examples_dict_2,884,5.77
