dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tmdb,D5,gpt-5.4-z-p2,97.10,83.27,80.50,81.86,0.04,vector_based_examples_dict_1,1829,3.44
imdb,tmdb,D5,gpt-5.4-ft-p2,99.54,84.89,65.91,74.20,0.03,vector_based_examples_dict_1,1469,2.04
imdb,tmdb,D5,gpt-5.4-tf-p2,99.50,84.22,83.19,83.70,0.05,vector_based_examples_dict_1,1869,3.48
imdb,tmdb,D5,gpt-5.4-ft-p2,103.43,85.51,87.00,86.25,0.08,vector_based_examples_dict_2,1925,2.60
imdb,tmdb,D5,gpt-5.4-tf-p2,98.47,84.42,80.18,82.24,0.15,vector_based_examples_dict_2,1797,2.28
imdb,tmdb,D5,gpt-5.4-ft-p2,96.88,81.59,62.79,70.97,0.03,join_examples_dict_1,1456,2.61
imdb,tmdb,D5,gpt-5.4-tf-p2,96.06,80.94,54.55,65.17,0.02,join_examples_dict_1,1275,2.04
imdb,tmdb,D5,gpt-5.4-ft-p2,177.36,83.00,69.66,75.75,0.10,join_examples_dict_2,1588,2.08
imdb,tmdb,D5,gpt-5.4-tf-p2,106.83,82.72,71.62,76.77,0.06,join_examples_dict_2,1638,2.56
imdb,tmdb,D5,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,199.04,83.53,87.95,85.68,0.04,vector_based_examples_dict_1,1992,3.71
imdb,tmdb,D5,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,199.04,85.96,61.15,71.46,0.04,vector_based_examples_dict_1,1346,1.34
imdb,tmdb,D5,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,201.90,84.65,92.12,88.23,0.11,vector_based_examples_dict_2,2059,3.30
imdb,tmdb,D5,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,201.90,85.39,75.05,79.89,0.11,vector_based_examples_dict_2,1663,1.38
imdb,tmdb,D5,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,192.94,81.26,66.70,73.27,0.03,join_examples_dict_1,1553,3.41
imdb,tmdb,D5,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,192.94,81.32,50.63,62.41,0.03,join_examples_dict_1,1178,1.36
imdb,tmdb,D5,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,284.19,83.06,80.34,81.68,0.08,join_examples_dict_2,1830,2.95
imdb,tmdb,D5,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,284.19,82.59,60.94,70.13,0.08,join_examples_dict_2,1396,1.72
