dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
imdb,tvdb,D6,gpt-5.4-z-p2,84.14,59.18,39.03,47.04,0.93,vector_based_examples_dict_1,637,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-z-p2,84.14,64.88,41.30,50.47,0.93,vector_based_examples_dict_1,615,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2,172.39,68.81,44.31,53.90,0.96,vector_based_examples_dict_1,622,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2,172.39,71.45,43.27,53.90,0.96,vector_based_examples_dict_1,585,distilroberta
imdb,tvdb,D6,gpt-5.4-tf-p2,96.25,74.86,27.43,40.15,0.96,vector_based_examples_dict_1,354,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-tf-p2,96.25,74.47,25.36,37.84,0.96,vector_based_examples_dict_1,329,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2,138.84,59.60,36.65,45.38,0.97,vector_based_examples_dict_2,594,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2,138.61,63.39,37.99,47.51,0.97,vector_based_examples_dict_2,579,distilroberta
imdb,tvdb,D6,gpt-5.4-tf-p2,86.21,61.01,39.86,48.22,0.93,vector_based_examples_dict_2,631,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-tf-p2,86.22,65.68,41.41,50.79,0.93,vector_based_examples_dict_2,609,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2,88.21,57.24,45.86,50.92,0.80,join_examples_dict_1,774,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2,88.21,62.57,48.96,54.94,0.80,join_examples_dict_1,756,distilroberta
imdb,tvdb,D6,gpt-5.4-tf-p2,95.56,57.39,44.20,49.94,0.90,join_examples_dict_1,744,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-tf-p2,95.56,62.41,47.10,53.69,0.90,join_examples_dict_1,729,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2,95.70,55.09,36.96,44.24,0.93,join_examples_dict_2,648,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2,95.69,61.44,40.58,48.88,0.93,join_examples_dict_2,638,distilroberta
imdb,tvdb,D6,gpt-5.4-tf-p2,94.12,53.95,33.23,41.13,0.91,join_examples_dict_2,595,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-tf-p2,94.12,60.31,36.65,45.59,0.91,join_examples_dict_2,587,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,268.64,70.57,52.38,60.13,0.96,vector_based_examples_dict_1,717,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,268.63,72.84,50.52,59.66,0.96,vector_based_examples_dict_1,670,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,268.62,72.44,19.05,30.16,0.96,vector_based_examples_dict_1,254,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,268.62,72.50,18.01,28.86,0.96,vector_based_examples_dict_1,240,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,224.80,62.42,50.21,55.65,0.95,vector_based_examples_dict_2,777,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,224.80,66.67,51.76,58.28,0.95,vector_based_examples_dict_2,750,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,224.79,56.85,26.19,35.86,0.95,vector_based_examples_dict_2,445,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,224.79,61.38,27.64,38.12,0.95,vector_based_examples_dict_2,435,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,183.74,58.73,50.83,54.50,0.85,join_examples_dict_1,836,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,183.74,63.79,53.62,58.27,0.85,join_examples_dict_1,812,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,184.07,55.90,39.23,46.11,0.85,join_examples_dict_1,678,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,183.73,61.19,42.44,50.12,0.85,join_examples_dict_1,670,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,189.80,56.64,41.51,47.91,0.92,join_examples_dict_2,708,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 U gpt-5.4-tf-p2,189.80,62.64,45.13,52.47,0.92,join_examples_dict_2,696,distilroberta
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,189.79,51.69,28.47,36.72,0.92,join_examples_dict_2,532,MetaBlocking-Method
imdb,tvdb,D6,gpt-5.4-ft-p2 ∩ gpt-5.4-tf-p2,189.79,58.75,31.99,41.42,0.92,join_examples_dict_2,526,distilroberta
