dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,D1_conflicts,D2_conflicts
abt,buy,D2,gemma3n-z-p2,402.2056767940521,0.6375176304654443,0.9804772234273319,0.7726495726495727,1.0,vector_based_examples_dict_1,1418,0.3215796897038082,0.3420310296191819
abt,buy,D2,gemma3n-ft-p2,522.8791859149933,0.6510115606936416,0.9772234273318872,0.7814397224631396,1.0,vector_based_examples_dict_1,1384,0.3085260115606936,0.3280346820809248
abt,buy,D2,gemma3n-tf-p2,522.9699151515961,0.6760670731707317,0.9620390455531453,0.7940913160250671,1.0,vector_based_examples_dict_1,1312,0.2850609756097561,0.3064024390243902
abt,buy,D2,qwen2.5-z-p2,220.61160492897037,0.8866090712742981,0.8904555314533622,0.8885281385281385,1.0,vector_based_examples_dict_1,926,0.0874730021598272,0.0993520518358531
abt,buy,D2,qwen2.5-ft-p2,224.01906609535217,0.9270588235294117,0.8546637744034707,0.8893905191873589,1.0,vector_based_examples_dict_1,850,0.0447058823529411,0.0576470588235294
abt,buy,D2,qwen2.5-tf-p2,224.673237323761,0.9,0.8980477223427332,0.8990228013029316,1.0,vector_based_examples_dict_1,920,0.0695652173913043,0.083695652173913
abt,buy,D2,llama3.1-z-p2,225.64505791664124,0.6868356500408831,0.911062906724512,0.7832167832167832,1.0,vector_based_examples_dict_1,1223,0.2624693376941946,0.2780049059689288
abt,buy,D2,llama3.1-ft-p2,228.8489830493927,0.6045883940620783,0.9718004338394793,0.7454242928452579,1.0,vector_based_examples_dict_1,1482,0.3441295546558704,0.3623481781376518
abt,buy,D2,llama3.1-tf-p2,229.313503742218,0.51171875,0.9945770065075922,0.6757553426676493,1.0,vector_based_examples_dict_1,1792,0.4375,0.4497767857142857
abt,buy,D2,orca2-z-p2,182.7210524082184,0.7532110091743119,0.8904555314533622,0.81610337972167,1.0,vector_based_examples_dict_1,1090,0.2110091743119266,0.2321100917431192
abt,buy,D2,orca2-ft-p2,190.09899139404297,0.7519011406844106,0.8579175704989154,0.8014184397163121,0.9981957600360848,vector_based_examples_dict_1,1051,0.2074215033301617,0.2274024738344434
abt,buy,D2,orca2-tf-p2,189.54544854164124,0.696917808219178,0.8828633405639913,0.7789473684210526,0.9986468200270636,vector_based_examples_dict_1,1167,0.2570694087403599,0.2716366752356469
abt,buy,D2,openhermes-z-p2,188.01459312438965,0.7591943957968477,0.940347071583514,0.8401162790697675,1.0,vector_based_examples_dict_1,1142,0.2040280210157618,0.2215411558669001
abt,buy,D2,openhermes-ft-p2,191.71793293952945,0.7009569377990431,0.9533622559652929,0.8079044117647058,1.0,vector_based_examples_dict_1,1254,0.2583732057416268,0.2799043062200957
abt,buy,D2,openhermes-tf-p2,193.2946002483368,0.7590788308237378,0.9295010845986985,0.8356899073622623,1.0,vector_based_examples_dict_1,1129,0.2090345438441098,0.2232063773250664
abt,buy,D2,zephyr-z-p2,209.182275056839,0.7837591240875912,0.9316702819956616,0.8513379583746283,0.9936851601262968,vector_based_examples_dict_1,1083,0.175438596491228,0.1939058171745152
abt,buy,D2,zephyr-ft-p2,399.37910199165344,0.823404255319149,0.8394793926247288,0.8313641245972073,0.2999548940009021,vector_based_examples_dict_1,166,0.0963855421686747,0.1204819277108433
abt,buy,D2,zephyr-tf-p2,309.39821219444275,0.8059855521155831,0.8470715835140998,0.8260179799048123,0.4046008119079837,vector_based_examples_dict_1,260,0.1115384615384615,0.15
abt,buy,D2,gemma3n-ft-p2,985.898673772812,0.6609918578830496,0.9685466377440347,0.7857457105147382,1.0,vector_based_examples_dict_2,1351,0.2945965951147298,0.3182827535159141
abt,buy,D2,gemma3n-tf-p2,983.1336257457732,0.6626776364996261,0.9609544468546638,0.7844178840194777,1.0,vector_based_examples_dict_2,1337,0.2954375467464473,0.3156320119670905
abt,buy,D2,qwen2.5-ft-p2,229.54661536216736,0.9166666666666666,0.8590021691973969,0.8868980963045913,1.0,vector_based_examples_dict_2,864,0.0543981481481481,0.0694444444444444
abt,buy,D2,qwen2.5-tf-p2,227.72426104545596,0.925,0.8427331887201736,0.8819523269012486,1.0,vector_based_examples_dict_2,840,0.0464285714285714,0.0607142857142857
abt,buy,D2,llama3.1-ft-p2,233.3263323307037,0.598111935266352,0.9620390455531453,0.7376299376299377,1.0,vector_based_examples_dict_2,1483,0.3506405933917734,0.3688469318948078
abt,buy,D2,llama3.1-tf-p2,229.45813488960263,0.5499390986601705,0.9793926247288504,0.7043681747269891,1.0,vector_based_examples_dict_2,1642,0.3958587088915956,0.4116930572472594
abt,buy,D2,orca2-ft-p2,193.32197189331052,0.7473170731707317,0.8308026030368764,0.7868515665125835,0.9990978800180425,vector_based_examples_dict_2,1024,0.212890625,0.2294921875
abt,buy,D2,orca2-tf-p2,192.3807592391968,0.6579572446555819,0.9013015184381779,0.7606407322654463,0.997744700045106,vector_based_examples_dict_2,1263,0.2984956452889944,0.3040380047505938
abt,buy,D2,openhermes-ft-p2,196.2067713737488,0.7063106796116505,0.9468546637744034,0.809082483781279,1.0,vector_based_examples_dict_2,1236,0.2516181229773462,0.2726537216828479
abt,buy,D2,openhermes-tf-p2,193.8197305202484,0.7259323503902863,0.9078091106290672,0.8067469879518072,1.0,vector_based_examples_dict_2,1153,0.2341717259323504,0.2506504770164787
abt,buy,D2,zephyr-ft-p2,443.6664311885834,0.7934782608695652,0.8709327548806941,0.8304033092037229,0.2674785746504285,vector_based_examples_dict_2,274,0.1350364963503649,0.145985401459854
abt,buy,D2,zephyr-tf-p2,388.12340021133423,0.8443935926773455,0.8004338394793926,0.821826280623608,0.2422192151556157,vector_based_examples_dict_2,116,0.0517241379310344,0.0689655172413793
abt,buy,D2,gemma3n-ft-p2,1139.2863931655884,0.6704119850187266,0.9707158351409978,0.7930881701373504,1.0,join_examples_dict_1,1335,0.2913857677902621,0.3123595505617977
abt,buy,D2,gemma3n-tf-p2,1135.960956811905,0.6641394996209249,0.9501084598698482,0.7817938420348058,1.0,join_examples_dict_1,1319,0.2994692949203942,0.3161485974222896
abt,buy,D2,qwen2.5-ft-p2,231.69389748573303,0.9204545454545454,0.8785249457700651,0.8990011098779135,1.0,join_examples_dict_1,880,0.0522727272727272,0.0659090909090909
abt,buy,D2,qwen2.5-tf-p2,229.5590488910675,0.914349276974416,0.8915401301518439,0.9028006589785832,1.0,join_examples_dict_1,899,0.0567296996662958,0.0734149054505005
abt,buy,D2,llama3.1-ft-p2,234.9128966331482,0.6397889977392615,0.920824295010846,0.7550022232103157,1.0,join_examples_dict_1,1327,0.3051996985681989,0.3180105501130369
abt,buy,D2,llama3.1-tf-p2,232.26470398902893,0.5445840813883902,0.9869848156182213,0.7018897030466641,1.0,join_examples_dict_1,1671,0.3985637342908438,0.4201077199281867
abt,buy,D2,orca2-ft-p2,200.28657484054563,0.7116858237547893,0.8058568329718004,0.7558494404883012,0.9905277401894452,join_examples_dict_1,1044,0.2432950191570881,0.2595785440613027
abt,buy,D2,orca2-tf-p2,193.4181408882141,0.6526138279932546,0.8394793926247288,0.7343453510436433,0.997744700045106,join_examples_dict_1,1182,0.2884940778341793,0.3011844331641286
abt,buy,D2,openhermes-ft-p2,197.8068733215332,0.7642276422764228,0.9175704989154013,0.8339083292262198,1.0,join_examples_dict_1,1107,0.1942186088527552,0.2140921409214092
abt,buy,D2,openhermes-tf-p2,196.46713948249817,0.7683923705722071,0.9175704989154013,0.8363816114681166,1.0,join_examples_dict_1,1101,0.2007266121707538,0.2143505903723887
abt,buy,D2,zephyr-ft-p2,441.777369260788,0.8305263157894737,0.8557483731019523,0.842948717948718,0.1447902571041948,join_examples_dict_1,42,0.0714285714285714,0.0714285714285714
abt,buy,D2,zephyr-tf-p2,381.4082427024841,0.8510416666666667,0.886117136659436,0.8682252922422954,0.1673432566531348,join_examples_dict_1,29,0.0344827586206896,0.0344827586206896
abt,buy,D2,gemma3n-ft-p2,957.09885263443,0.5929778933680104,0.9891540130151844,0.7414634146341463,1.0,join_examples_dict_2,1538,0.3608582574772431,0.38296488946684
abt,buy,D2,gemma3n-tf-p2,954.518956899643,0.5904082955281919,0.9880694143167028,0.7391480730223123,1.0,join_examples_dict_2,1543,0.3629293583927414,0.3836681788723266
abt,buy,D2,qwen2.5-ft-p2,229.611261844635,0.911864406779661,0.8752711496746204,0.8931931377974544,1.0,join_examples_dict_2,885,0.0587570621468926,0.0734463276836158
abt,buy,D2,qwen2.5-tf-p2,227.9233596324921,0.9083885209713024,0.8926247288503254,0.9004376367614879,1.0,join_examples_dict_2,906,0.0584988962472406,0.0827814569536423
abt,buy,D2,llama3.1-ft-p2,232.93139338493347,0.5885042455911169,0.9772234273318872,0.7346106807990216,1.0,join_examples_dict_2,1531,0.3592423252775963,0.3788373612018288
abt,buy,D2,llama3.1-tf-p2,229.8744823932648,0.5203850509626274,0.9967462039045553,0.6837797619047619,1.0,join_examples_dict_2,1766,0.4269535673839185,0.4388448471121178
abt,buy,D2,orca2-ft-p2,196.06059765815732,0.7535753575357536,0.7429501084598699,0.7482250136537412,0.9995489400090212,join_examples_dict_2,909,0.2068206820682068,0.2156215621562156
abt,buy,D2,orca2-tf-p2,195.56295824050903,0.6109857035364936,0.8806941431670282,0.7214571301643714,0.9959404600811907,join_examples_dict_2,1328,0.3328313253012048,0.3433734939759036
abt,buy,D2,openhermes-ft-p2,198.92909121513367,0.7067729083665338,0.9620390455531453,0.8148828663298117,1.0,join_examples_dict_2,1255,0.251792828685259,0.2693227091633466
abt,buy,D2,openhermes-tf-p2,195.5880389213562,0.7284372331340735,0.9251626898047722,0.8150979455327282,1.0,join_examples_dict_2,1171,0.228864218616567,0.2502134927412468
abt,buy,D2,zephyr-ft-p2,479.4252233505249,0.8773584905660378,0.806941431670282,0.8406779661016949,0.1912494361750112,join_examples_dict_2,80,0.025,0.0625
abt,buy,D2,zephyr-tf-p2,388.6226043701172,0.891583452211127,0.6778741865509761,0.7701786814540974,0.3775372124492557,join_examples_dict_2,128,0.078125,0.078125
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,1045.8493118286133,0.6435714285714286,0.9772234273318872,0.7760551248923342,1.0,vector_based_examples_dict_1,1400,0.315,0.335
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,1045.8493118286133,0.6844135802469136,0.9620390455531453,0.799819657348963,1.0,vector_based_examples_dict_1,1296,0.2777777777777778,0.2986111111111111
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,1969.0325162410736,0.6471438900939985,0.9707158351409978,0.7765726681127982,1.0,vector_based_examples_dict_2,1383,0.31019522776572667,0.3297180043383948
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,1969.0325162410736,0.6773946360153257,0.9587852494577006,0.7938931297709924,1.0,vector_based_examples_dict_2,1305,0.2796934865900383,0.30421455938697317
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,2275.247571706772,0.6518895348837209,0.972885032537961,0.7806788511749347,1.0,join_examples_dict_1,1376,0.30959302325581395,0.32848837209302323
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2275.247571706772,0.6838810641627543,0.9479392624728851,0.7945454545454546,1.0,join_examples_dict_1,1278,0.2809076682316119,0.2996870109546166
abt,buy,D2,gemma3n-ft-p2 U gemma3n-tf-p2,1911.6180233955383,0.5812619502868069,0.9891540130151844,0.7322360497792051,1.0,join_examples_dict_2,1569,0.3715742511153601,0.3919694072657744
abt,buy,D2,gemma3n-ft-p2 ∩ gemma3n-tf-p2,1911.6180233955383,0.6025132275132276,0.9880694143167028,0.7485620377978636,1.0,join_examples_dict_2,1512,0.35185185185185186,0.375
abt,buy,D2,qwen2.5-ft-p2 U qwen2.5-tf-p2,448.6925218105316,0.8982683982683982,0.9002169197396963,0.8992416034669556,1.0,vector_based_examples_dict_1,924,0.07142857142857142,0.08441558441558442
