dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tmdb,D5,gemma3n-z-p1,1066.92,74.46,98.31,84.74,1.00,vector_based_examples_dict_1,2498,15.69
imdb,tmdb,D5,gemma3n-z-p2,1012.96,71.43,98.57,82.83,1.00,vector_based_examples_dict_1,2611,19.46
imdb,tmdb,D5,gemma3n-ft-p1,1464.24,72.06,84.51,77.79,1.00,vector_based_examples_dict_1,2219,17.40
imdb,tmdb,D5,gemma3n-ft-p2,1372.17,72.86,81.29,76.84,1.00,vector_based_examples_dict_1,2111,15.87
imdb,tmdb,D5,gemma3n-tf-p1,1462.41,75.17,99.52,85.65,1.00,vector_based_examples_dict_1,2505,14.77
imdb,tmdb,D5,gemma3n-tf-p2,1371.83,73.08,99.58,84.30,1.00,vector_based_examples_dict_1,2578,18.35
imdb,tmdb,D5,qwen2.5-z-p1,531.22,79.75,78.07,78.90,1.00,vector_based_examples_dict_1,1852,6.43
imdb,tmdb,D5,qwen2.5-z-p2,527.27,79.93,83.35,81.60,1.00,vector_based_examples_dict_1,1973,6.94
imdb,tmdb,D5,qwen2.5-ft-p1,540.57,81.41,93.29,86.95,1.00,vector_based_examples_dict_1,2168,6.41
imdb,tmdb,D5,qwen2.5-ft-p2,538.35,82.10,95.03,88.09,1.00,vector_based_examples_dict_1,2190,5.30
imdb,tmdb,D5,qwen2.5-tf-p1,537.97,80.33,96.51,87.68,1.00,vector_based_examples_dict_1,2273,6.95
imdb,tmdb,D5,qwen2.5-tf-p2,538.04,81.04,96.67,88.17,1.00,vector_based_examples_dict_1,2257,6.29
imdb,tmdb,D5,llama3.1-z-p1,538.67,58.26,91.12,71.08,1.00,vector_based_examples_dict_1,2959,66.47
imdb,tmdb,D5,llama3.1-z-p2,534.73,57.40,90.96,70.39,1.00,vector_based_examples_dict_1,2998,66.47
imdb,tmdb,D5,llama3.1-ft-p1,548.15,61.59,79.23,69.30,1.00,vector_based_examples_dict_1,2434,66.47
imdb,tmdb,D5,llama3.1-ft-p2,550.50,55.01,88.27,67.78,1.00,vector_based_examples_dict_1,3036,66.47
imdb,tmdb,D5,llama3.1-tf-p1,546.17,51.10,96.72,66.87,1.00,vector_based_examples_dict_1,3581,66.47
imdb,tmdb,D5,llama3.1-tf-p2,548.21,49.89,98.57,66.25,1.00,vector_based_examples_dict_1,3738,66.47
imdb,tmdb,D5,orca2-z-p1,396.49,68.24,62.79,65.40,0.99,vector_based_examples_dict_1,1737,66.47
imdb,tmdb,D5,orca2-z-p2,381.87,75.90,62.10,68.31,1.00,vector_based_examples_dict_1,1546,66.47
imdb,tmdb,D5,orca2-ft-p1,398.76,59.11,39.96,47.68,1.00,vector_based_examples_dict_1,1279,66.47
imdb,tmdb,D5,orca2-ft-p2,395.20,64.72,55.18,59.57,1.00,vector_based_examples_dict_1,1613,27.15
imdb,tmdb,D5,orca2-tf-p1,396.87,65.38,40.33,49.89,1.00,vector_based_examples_dict_1,1167,23.56
imdb,tmdb,D5,orca2-tf-p2,395.23,66.18,57.40,61.48,1.00,vector_based_examples_dict_1,1641,23.89
imdb,tmdb,D5,openhermes-z-p1,389.73,70.45,84.67,76.91,1.00,vector_based_examples_dict_1,2274,66.47
imdb,tmdb,D5,openhermes-z-p2,387.58,67.40,83.72,74.68,1.00,vector_based_examples_dict_1,2350,66.47
imdb,tmdb,D5,openhermes-ft-p1,403.03,70.43,90.12,79.06,1.00,vector_based_examples_dict_1,2421,20.28
imdb,tmdb,D5,openhermes-ft-p2,403.58,72.61,86.73,79.05,1.00,vector_based_examples_dict_1,2260,66.47
imdb,tmdb,D5,openhermes-tf-p1,404.83,63.75,96.93,76.91,1.00,vector_based_examples_dict_1,2877,66.47
imdb,tmdb,D5,openhermes-tf-p2,404.40,65.68,94.66,77.55,1.00,vector_based_examples_dict_1,2727,66.47
imdb,tmdb,D5,zephyr-z-p1,437.32,77.04,80.87,78.91,0.98,vector_based_examples_dict_1,1971,66.47
imdb,tmdb,D5,zephyr-z-p2,436.81,79.85,70.98,75.15,0.98,vector_based_examples_dict_1,1661,66.47
imdb,tmdb,D5,zephyr-ft-p1,824.73,79.92,41.65,54.76,0.71,vector_based_examples_dict_1,519,66.47
imdb,tmdb,D5,zephyr-ft-p2,854.40,75.88,35.41,48.29,0.59,vector_based_examples_dict_1,219,66.47
imdb,tmdb,D5,zephyr-tf-p1,656.98,82.48,50.53,62.67,0.79,vector_based_examples_dict_1,858,66.47
imdb,tmdb,D5,zephyr-tf-p2,630.43,81.81,60.84,69.78,0.71,vector_based_examples_dict_1,796,66.47
imdb,tmdb,D5,gemma3n-ft-p1,1435.46,77.51,98.57,86.78,1.00,vector_based_examples_dict_2,2406,12.55
imdb,tmdb,D5,gemma3n-ft-p2,1344.61,77.79,99.21,87.20,1.00,vector_based_examples_dict_2,2413,12.14
imdb,tmdb,D5,gemma3n-tf-p1,1430.33,80.65,96.72,87.96,1.00,vector_based_examples_dict_2,2269,8.02
imdb,tmdb,D5,gemma3n-tf-p2,1343.17,79.99,98.68,88.36,1.00,vector_based_examples_dict_2,2334,9.21
imdb,tmdb,D5,qwen2.5-ft-p1,533.74,82.49,92.86,87.37,1.00,vector_based_examples_dict_2,2130,4.88
imdb,tmdb,D5,qwen2.5-ft-p2,533.04,82.48,94.08,87.90,1.00,vector_based_examples_dict_2,2158,5.24
imdb,tmdb,D5,qwen2.5-tf-p1,534.57,82.03,94.08,87.64,1.00,vector_based_examples_dict_2,2170,5.53
imdb,tmdb,D5,qwen2.5-tf-p2,534.32,81.73,94.56,87.67,1.00,vector_based_examples_dict_2,2189,6.03
imdb,tmdb,D5,llama3.1-ft-p1,544.26,65.72,76.22,70.58,1.00,vector_based_examples_dict_2,2194,25.21
imdb,tmdb,D5,llama3.1-ft-p2,540.62,55.96,85.31,67.59,1.00,vector_based_examples_dict_2,2884,66.47
imdb,tmdb,D5,llama3.1-tf-p1,542.81,61.02,92.76,73.62,1.00,vector_based_examples_dict_2,2876,31.54
imdb,tmdb,D5,llama3.1-tf-p2,541.66,53.60,95.56,68.68,1.00,vector_based_examples_dict_2,3373,66.47
imdb,tmdb,D5,orca2-ft-p1,397.12,66.22,55.02,60.10,1.00,vector_based_examples_dict_2,1572,66.47
imdb,tmdb,D5,orca2-ft-p2,391.17,73.81,60.04,66.22,1.00,vector_based_examples_dict_2,1539,11.11
imdb,tmdb,D5,orca2-tf-p1,395.83,65.35,57.51,61.18,1.00,vector_based_examples_dict_2,1665,66.47
imdb,tmdb,D5,orca2-tf-p2,390.20,70.39,65.70,67.96,1.00,vector_based_examples_dict_2,1766,17.33
imdb,tmdb,D5,openhermes-ft-p1,401.69,75.00,83.56,79.05,1.00,vector_based_examples_dict_2,2108,13.28
imdb,tmdb,D5,openhermes-ft-p2,397.66,76.66,80.55,78.56,1.00,vector_based_examples_dict_2,1988,11.72
imdb,tmdb,D5,openhermes-tf-p1,400.64,77.17,86.84,81.72,1.00,vector_based_examples_dict_2,2129,10.43
imdb,tmdb,D5,openhermes-tf-p2,400.41,78.26,83.35,80.73,1.00,vector_based_examples_dict_2,2015,9.43
imdb,tmdb,D5,zephyr-ft-p1,2552.70,81.05,43.39,56.52,0.82,vector_based_examples_dict_2,877,66.47
imdb,tmdb,D5,zephyr-ft-p2,755.30,80.38,48.73,60.68,0.72,vector_based_examples_dict_2,725,66.47
imdb,tmdb,D5,zephyr-tf-p1,498.73,77.66,74.58,76.09,0.94,vector_based_examples_dict_2,1764,66.47
imdb,tmdb,D5,zephyr-tf-p2,544.04,77.71,70.77,74.08,0.88,vector_based_examples_dict_2,1577,66.47
