dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tvdb,D6,gemma3n-z-p1,949.31,46.85,96.70,63.12,1.00,vector_based_examples_dict_1,1874,41.30
imdb,tvdb,D6,gemma3n-z-p2,902.71,43.49,97.47,60.14,1.00,vector_based_examples_dict_1,2035,44.86
imdb,tvdb,D6,gemma3n-ft-p1,1301.72,52.15,96.04,67.60,1.00,vector_based_examples_dict_1,1672,39.29
imdb,tvdb,D6,gemma3n-ft-p2,1222.70,51.97,94.38,67.03,1.00,vector_based_examples_dict_1,1649,39.66
imdb,tvdb,D6,gemma3n-tf-p1,1301.54,53.11,90.20,66.86,1.00,vector_based_examples_dict_1,1542,37.42
imdb,tvdb,D6,gemma3n-tf-p2,1224.20,51.29,94.05,66.38,1.00,vector_based_examples_dict_1,1665,38.20
imdb,tvdb,D6,qwen2.5-z-p1,470.92,53.17,84.14,65.16,1.00,vector_based_examples_dict_1,1437,36.95
imdb,tvdb,D6,qwen2.5-z-p2,469.35,54.34,89.65,67.66,1.00,vector_based_examples_dict_1,1498,35.65
imdb,tvdb,D6,qwen2.5-ft-p1,481.97,53.03,65.53,58.62,1.00,vector_based_examples_dict_1,1122,37.08
imdb,tvdb,D6,qwen2.5-ft-p2,480.49,54.10,74.12,62.55,1.00,vector_based_examples_dict_1,1244,35.53
imdb,tvdb,D6,qwen2.5-tf-p1,480.68,49.78,73.68,59.41,1.00,vector_based_examples_dict_1,1344,39.81
imdb,tvdb,D6,qwen2.5-tf-p2,480.06,51.16,72.69,60.05,1.00,vector_based_examples_dict_1,1290,37.91
imdb,tvdb,D6,llama3.1-z-p1,486.34,26.99,84.03,40.86,1.00,vector_based_examples_dict_1,2827,76.58
imdb,tvdb,D6,llama3.1-z-p2,481.98,25.57,83.81,39.19,1.00,vector_based_examples_dict_1,2976,76.58
imdb,tvdb,D6,llama3.1-ft-p1,494.09,32.12,56.39,40.93,1.00,vector_based_examples_dict_1,1594,76.58
imdb,tvdb,D6,llama3.1-ft-p2,493.88,27.68,68.61,39.44,0.99,vector_based_examples_dict_1,2239,76.58
imdb,tvdb,D6,llama3.1-tf-p1,493.70,24.90,81.28,38.12,1.00,vector_based_examples_dict_1,2964,63.33
imdb,tvdb,D6,llama3.1-tf-p2,494.08,23.05,79.30,35.71,1.00,vector_based_examples_dict_1,3111,76.58
imdb,tvdb,D6,orca2-z-p1,344.20,44.39,63.22,52.16,1.00,vector_based_examples_dict_1,1293,76.58
imdb,tvdb,D6,orca2-z-p2,337.74,52.21,61.12,56.32,1.00,vector_based_examples_dict_1,1063,76.58
imdb,tvdb,D6,orca2-ft-p1,357.68,43.96,64.87,52.40,1.00,vector_based_examples_dict_1,1339,76.58
imdb,tvdb,D6,orca2-ft-p2,352.93,46.67,67.95,55.34,1.00,vector_based_examples_dict_1,1322,76.58
imdb,tvdb,D6,orca2-tf-p1,354.51,36.10,53.19,43.01,1.00,vector_based_examples_dict_1,1338,76.58
imdb,tvdb,D6,orca2-tf-p2,355.08,31.77,73.02,44.27,1.00,vector_based_examples_dict_1,2087,76.58
imdb,tvdb,D6,openhermes-z-p1,348.12,35.85,75.33,48.58,1.00,vector_based_examples_dict_1,1908,76.58
imdb,tvdb,D6,openhermes-z-p2,344.60,33.76,73.35,46.23,1.00,vector_based_examples_dict_1,1973,76.58
imdb,tvdb,D6,openhermes-ft-p1,361.26,43.67,74.45,55.05,1.00,vector_based_examples_dict_1,1548,40.12
imdb,tvdb,D6,openhermes-ft-p2,359.78,44.94,75.33,56.30,1.00,vector_based_examples_dict_1,1522,40.41
imdb,tvdb,D6,openhermes-tf-p1,360.51,39.99,80.07,53.34,1.00,vector_based_examples_dict_1,1817,76.58
imdb,tvdb,D6,openhermes-tf-p2,360.94,39.90,80.51,53.36,1.00,vector_based_examples_dict_1,1832,76.58
imdb,tvdb,D6,zephyr-z-p1,392.52,41.49,73.02,52.91,0.98,vector_based_examples_dict_1,1578,76.58
imdb,tvdb,D6,zephyr-z-p2,392.12,46.18,59.91,52.16,0.97,vector_based_examples_dict_1,1148,76.58
imdb,tvdb,D6,zephyr-ft-p1,713.14,48.64,29.52,36.74,0.76,vector_based_examples_dict_1,272,76.58
imdb,tvdb,D6,zephyr-ft-p2,3567.03,45.17,15.97,23.60,0.68,vector_based_examples_dict_1,94,76.58
imdb,tvdb,D6,zephyr-tf-p1,2166.70,44.97,26.10,33.03,0.70,vector_based_examples_dict_1,150,76.58
imdb,tvdb,D6,zephyr-tf-p2,724.15,48.73,27.53,35.19,0.71,vector_based_examples_dict_1,223,76.58
imdb,tvdb,D6,gemma3n-ft-p1,1294.50,51.96,95.04,67.19,1.00,vector_based_examples_dict_2,1661,37.39
imdb,tvdb,D6,gemma3n-ft-p2,1213.84,52.61,96.70,68.14,1.00,vector_based_examples_dict_2,1669,36.37
imdb,tvdb,D6,gemma3n-tf-p1,1290.61,54.74,89.65,67.97,1.00,vector_based_examples_dict_2,1487,34.43
imdb,tvdb,D6,gemma3n-tf-p2,1214.05,54.68,92.07,68.61,1.00,vector_based_examples_dict_2,1529,34.01
imdb,tvdb,D6,qwen2.5-ft-p1,478.28,55.51,63.22,59.11,1.00,vector_based_examples_dict_2,1034,35.40
imdb,tvdb,D6,qwen2.5-ft-p2,476.40,55.98,69.05,61.83,1.00,vector_based_examples_dict_2,1120,34.29
imdb,tvdb,D6,qwen2.5-tf-p1,478.24,54.34,57.27,55.76,1.00,vector_based_examples_dict_2,957,36.99
imdb,tvdb,D6,qwen2.5-tf-p2,475.61,55.19,64.98,59.69,1.00,vector_based_examples_dict_2,1069,34.89
imdb,tvdb,D6,llama3.1-ft-p1,492.35,35.32,61.34,44.83,1.00,vector_based_examples_dict_2,1577,49.27
imdb,tvdb,D6,llama3.1-ft-p2,489.76,29.62,69.60,41.55,1.00,vector_based_examples_dict_2,2134,76.58
imdb,tvdb,D6,llama3.1-tf-p1,491.40,31.19,85.46,45.70,1.00,vector_based_examples_dict_2,2488,76.58
imdb,tvdb,D6,llama3.1-tf-p2,490.11,30.83,78.63,44.29,1.00,vector_based_examples_dict_2,2316,76.58
imdb,tvdb,D6,orca2-ft-p1,355.90,42.22,48.13,44.98,1.00,vector_based_examples_dict_2,1035,76.58
imdb,tvdb,D6,orca2-ft-p2,351.96,37.43,71.15,49.05,1.00,vector_based_examples_dict_2,1726,46.81
imdb,tvdb,D6,orca2-tf-p1,353.95,27.10,52.20,35.68,1.00,vector_based_examples_dict_2,1749,76.58
imdb,tvdb,D6,orca2-tf-p2,350.94,42.93,48.13,45.38,1.00,vector_based_examples_dict_2,1018,76.58
imdb,tvdb,D6,openhermes-ft-p1,363.57,46.41,69.05,55.51,1.00,vector_based_examples_dict_2,1351,39.38
imdb,tvdb,D6,openhermes-ft-p2,359.13,47.45,68.72,56.14,1.00,vector_based_examples_dict_2,1315,38.78
imdb,tvdb,D6,openhermes-tf-p1,361.28,48.32,61.89,54.27,1.00,vector_based_examples_dict_2,1163,36.72
imdb,tvdb,D6,openhermes-tf-p2,359.20,47.23,61.01,53.24,1.00,vector_based_examples_dict_2,1173,37.77
imdb,tvdb,D6,zephyr-ft-p1,2481.98,37.85,29.85,33.37,0.58,vector_based_examples_dict_2,69,76.58
imdb,tvdb,D6,zephyr-ft-p2,924.62,44.43,29.41,35.39,0.54,vector_based_examples_dict_2,44,76.58
imdb,tvdb,D6,zephyr-tf-p1,761.60,40.98,54.07,46.63,0.67,vector_based_examples_dict_2,534,76.58
imdb,tvdb,D6,zephyr-tf-p2,674.46,42.35,52.75,46.98,0.65,vector_based_examples_dict_2,492,76.58
imdb,tvdb,D6,gemma3n-ft-p1,1281.51,48.01,93.06,63.34,1.00,join_examples_dict_1,1760,43.07
imdb,tvdb,D6,gemma3n-ft-p2,1201.76,48.81,92.40,63.88,1.00,join_examples_dict_1,1719,42.64
imdb,tvdb,D6,gemma3n-tf-p1,1277.36,49.92,97.80,66.10,1.00,join_examples_dict_1,1779,39.57
imdb,tvdb,D6,gemma3n-tf-p2,1202.26,47.81,98.79,64.44,1.00,join_examples_dict_1,1876,41.95
imdb,tvdb,D6,qwen2.5-ft-p1,473.59,54.68,80.40,65.09,1.00,join_examples_dict_1,1335,35.43
imdb,tvdb,D6,qwen2.5-ft-p2,472.48,54.68,81.06,65.31,1.00,join_examples_dict_1,1346,34.25
imdb,tvdb,D6,qwen2.5-tf-p1,474.07,54.35,88.11,67.23,1.00,join_examples_dict_1,1472,35.05
imdb,tvdb,D6,qwen2.5-tf-p2,471.88,54.95,86.23,67.12,1.00,join_examples_dict_1,1425,34.39
imdb,tvdb,D6,llama3.1-ft-p1,490.33,37.45,64.10,47.28,1.00,join_examples_dict_1,1553,76.58
imdb,tvdb,D6,llama3.1-ft-p2,486.90,32.76,69.82,44.60,1.00,join_examples_dict_1,1935,76.58
imdb,tvdb,D6,llama3.1-tf-p1,486.87,25.72,94.71,40.45,1.00,join_examples_dict_1,3344,76.58
imdb,tvdb,D6,llama3.1-tf-p2,486.77,24.55,94.27,38.95,1.00,join_examples_dict_1,3484,76.58
imdb,tvdb,D6,orca2-ft-p1,349.72,37.23,75.11,49.78,1.00,join_examples_dict_1,1831,76.58
imdb,tvdb,D6,orca2-ft-p2,345.75,42.97,66.96,52.35,1.00,join_examples_dict_1,1414,76.58
imdb,tvdb,D6,orca2-tf-p1,346.29,35.18,70.59,46.96,1.00,join_examples_dict_1,1822,76.58
imdb,tvdb,D6,orca2-tf-p2,344.65,40.25,70.48,51.24,1.00,join_examples_dict_1,1590,46.73
imdb,tvdb,D6,openhermes-ft-p1,357.29,40.81,68.50,51.15,1.00,join_examples_dict_1,1524,45.41
imdb,tvdb,D6,openhermes-ft-p2,353.28,40.29,58.48,47.71,1.00,join_examples_dict_1,1318,43.93
imdb,tvdb,D6,openhermes-tf-p1,353.51,44.54,63.33,52.30,1.00,join_examples_dict_1,1291,40.43
imdb,tvdb,D6,openhermes-tf-p2,352.89,41.97,57.27,48.44,1.00,join_examples_dict_1,1239,43.26
imdb,tvdb,D6,zephyr-ft-p1,668.11,47.93,26.76,34.35,0.85,join_examples_dict_1,235,76.58
imdb,tvdb,D6,zephyr-ft-p2,1971.91,50.15,18.50,27.03,0.76,join_examples_dict_1,50,76.58
