dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,D1_conflicts,D2_conflicts
tmdb,tvdb,D7,gemma3n-z-p1,1048.6223816871643,0.3702048417132216,0.9920159680638723,0.5391917548142121,1.0,vector_based_examples_dict_1,2685,0.2182495344506517,0.0078212290502793
tmdb,tvdb,D7,gemma3n-z-p2,997.2308309078217,0.33524258760107817,0.9930139720558883,0.5012594458438288,1.0,vector_based_examples_dict_1,2968,0.2476415094339622,0.0151617250673854
tmdb,tvdb,D7,gemma3n-ft-p1,1499.506674528122,0.4513399153737659,0.9580838323353293,0.613614573346117,1.0,vector_based_examples_dict_1,2127,0.1415138692994828,0.00470145745181
tmdb,tvdb,D7,gemma3n-ft-p2,1398.4114634990692,0.47922998986828774,0.9441117764471058,0.635752688172043,1.0,vector_based_examples_dict_1,1974,0.1266464032421479,0.0030395136778115
tmdb,tvdb,D7,gemma3n-tf-p1,1499.0628159046173,0.48686974789915966,0.9251497005988024,0.6379903647625602,1.0,vector_based_examples_dict_1,1904,0.1076680672268907,0.0015756302521008
tmdb,tvdb,D7,gemma3n-tf-p2,1398.898557662964,0.4782838983050847,0.9011976047904192,0.6249134948096886,1.0,vector_based_examples_dict_1,1888,0.1191737288135593,0.0015889830508474
tmdb,tvdb,D7,qwen2.5-z-p1,537.4354710578918,0.46346063177746344,0.9810379241516967,0.6295228946525776,1.0,vector_based_examples_dict_1,2121,0.1669024045261669,0.0009429514380009
tmdb,tvdb,D7,qwen2.5-z-p2,534.3873479366302,0.45605920444033304,0.9840319361277445,0.6232616940581542,1.0,vector_based_examples_dict_1,2162,0.1655874190564292,0.0004625346901017
tmdb,tvdb,D7,qwen2.5-ft-p1,552.0208370685577,0.4602803738317757,0.9830339321357285,0.6269891788669637,1.0,vector_based_examples_dict_1,2140,0.1532710280373831,0.0004672897196261
tmdb,tvdb,D7,qwen2.5-ft-p2,551.3678324222565,0.45601105481345,0.9880239520958084,0.6240151276394579,1.0,vector_based_examples_dict_1,2171,0.1579917088899124,0.0013818516812528
tmdb,tvdb,D7,qwen2.5-tf-p1,552.0270276069641,0.43118466898954705,0.9880239520958084,0.6003638568829593,1.0,vector_based_examples_dict_1,2296,0.1842334494773519,0.0008710801393728
tmdb,tvdb,D7,qwen2.5-tf-p2,549.3642110824585,0.43927304964539005,0.9890219560878244,0.6083486801718846,1.0,vector_based_examples_dict_1,2256,0.1790780141843971,0.00177304964539
tmdb,tvdb,D7,llama3.1-z-p1,562.8476965427399,0.308716323296355,0.9720558882235529,0.4686071686312244,0.992128801431127,vector_based_examples_dict_1,3155,0.2792393026941362,0.0161648177496038
tmdb,tvdb,D7,llama3.1-z-p2,553.4776186943054,0.27722206344669903,0.9680638722554891,0.43101532992668296,0.9980322003577816,vector_based_examples_dict_1,3499,0.3089454129751358,0.0374392683623892
tmdb,tvdb,D7,llama3.1-ft-p1,597.8880865573883,0.3723252496433666,0.781437125748503,0.5043478260869565,0.9738819320214668,vector_based_examples_dict_1,2103,0.1678554446029481,0.0066571564431764
