dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
tmdb,tvdb,D7,gemma3n-z-p2,997.23,33.52,99.30,50.13,1.00,vector_based_examples_dict_1,2968,41.85,4.38,7.43
tmdb,tvdb,D7,gemma3n-ft-p2,1398.41,47.92,94.41,63.58,1.00,vector_based_examples_dict_1,1974,22.75,4.44,7.43
tmdb,tvdb,D7,gemma3n-tf-p2,1398.90,47.83,90.12,62.49,1.00,vector_based_examples_dict_1,1888,21.50,4.50,7.43
tmdb,tvdb,D7,qwen2.5-z-p2,534.39,45.61,98.40,62.33,1.00,vector_based_examples_dict_1,2162,28.49,4.50,4.78
tmdb,tvdb,D7,qwen2.5-ft-p2,551.37,45.60,98.80,62.40,1.00,vector_based_examples_dict_1,2171,27.45,3.99,4.78
tmdb,tvdb,D7,qwen2.5-tf-p2,549.36,43.93,98.90,60.83,1.00,vector_based_examples_dict_1,2256,29.52,4.00,4.78
tmdb,tvdb,D7,llama3.1-z-p2,553.48,27.72,96.81,43.10,1.00,vector_based_examples_dict_1,3499,67.98,4.00,10.01
tmdb,tvdb,D7,llama3.1-ft-p2,575.31,28.67,87.43,43.18,0.99,vector_based_examples_dict_1,3055,67.98,4.35,10.01
tmdb,tvdb,D7,llama3.1-tf-p2,569.94,27.59,95.21,42.78,1.00,vector_based_examples_dict_1,3458,67.98,4.37,10.01
tmdb,tvdb,D7,orca2-z-p2,410.34,44.47,95.11,60.60,0.99,vector_based_examples_dict_1,2142,67.98,4.37,5.78
tmdb,tvdb,D7,orca2-ft-p2,432.60,43.49,88.32,58.28,1.00,vector_based_examples_dict_1,2035,67.98,4.14,5.78
tmdb,tvdb,D7,orca2-tf-p2,426.32,43.69,82.63,57.16,1.00,vector_based_examples_dict_1,1895,67.98,4.15,5.78
tmdb,tvdb,D7,openhermes-z-p2,410.61,33.45,97.50,49.81,1.00,vector_based_examples_dict_1,2921,67.98,4.16,4.56
tmdb,tvdb,D7,openhermes-ft-p2,433.70,38.35,96.61,54.91,1.00,vector_based_examples_dict_1,2524,35.78,4.24,4.56
tmdb,tvdb,D7,openhermes-tf-p2,432.24,36.06,98.50,52.79,1.00,vector_based_examples_dict_1,2737,38.11,4.21,4.56
tmdb,tvdb,D7,zephyr-z-p2,517.97,43.16,90.12,58.37,0.92,vector_based_examples_dict_1,1924,67.98,4.19,9.10
tmdb,tvdb,D7,zephyr-ft-p2,842.88,49.06,80.54,60.97,0.59,vector_based_examples_dict_1,826,67.98,4.37,9.10
tmdb,tvdb,D7,zephyr-tf-p2,850.89,51.83,77.64,62.17,0.54,vector_based_examples_dict_1,422,67.98,4.36,9.10
tmdb,tvdb,D7,gemma3n-ft-p2,1313.20,39.68,99.60,56.75,1.00,vector_based_examples_dict_2,2515,34.71,4.36,7.43
tmdb,tvdb,D7,gemma3n-tf-p2,1313.37,41.28,99.70,58.39,1.00,vector_based_examples_dict_2,2420,32.98,4.40,7.43
tmdb,tvdb,D7,qwen2.5-ft-p2,540.86,45.26,99.20,62.16,1.00,vector_based_examples_dict_2,2196,27.64,4.42,4.78
