dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts,RAM-USAGE,VRAM-USAGE
imdb,tmdb,D5,gemma3n-z-p2,1012.96,71.43,98.57,82.83,1.00,vector_based_examples_dict_1,2611,19.46,4.26,7.43
imdb,tmdb,D5,gemma3n-ft-p2,1372.17,72.86,81.29,76.84,1.00,vector_based_examples_dict_1,2111,15.87,4.19,7.43
imdb,tmdb,D5,gemma3n-tf-p2,1371.83,73.08,99.58,84.30,1.00,vector_based_examples_dict_1,2578,18.35,4.22,7.43
imdb,tmdb,D5,qwen2.5-z-p2,527.27,79.93,83.35,81.60,1.00,vector_based_examples_dict_1,1973,6.94,4.21,4.78
imdb,tmdb,D5,qwen2.5-ft-p2,538.35,82.10,95.03,88.09,1.00,vector_based_examples_dict_1,2190,5.30,4.00,4.78
imdb,tmdb,D5,qwen2.5-tf-p2,538.04,81.04,96.67,88.17,1.00,vector_based_examples_dict_1,2257,6.29,3.98,4.78
imdb,tmdb,D5,llama3.1-z-p2,534.73,57.40,90.96,70.39,1.00,vector_based_examples_dict_1,2998,66.47,3.98,10.01
imdb,tmdb,D5,llama3.1-ft-p2,550.50,55.01,88.27,67.78,1.00,vector_based_examples_dict_1,3036,66.47,4.26,10.01
imdb,tmdb,D5,llama3.1-tf-p2,548.21,49.89,98.57,66.25,1.00,vector_based_examples_dict_1,3738,66.47,4.25,10.01
imdb,tmdb,D5,orca2-z-p2,381.87,75.90,62.10,68.31,1.00,vector_based_examples_dict_1,1546,66.47,4.25,5.78
imdb,tmdb,D5,orca2-ft-p2,395.20,64.72,55.18,59.57,1.00,vector_based_examples_dict_1,1613,27.15,3.94,5.78
imdb,tmdb,D5,orca2-tf-p2,395.23,66.18,57.40,61.48,1.00,vector_based_examples_dict_1,1641,23.89,3.95,5.78
imdb,tmdb,D5,openhermes-z-p2,387.58,67.40,83.72,74.68,1.00,vector_based_examples_dict_1,2350,66.47,3.95,4.56
imdb,tmdb,D5,openhermes-ft-p2,403.58,72.61,86.73,79.05,1.00,vector_based_examples_dict_1,2260,66.47,4.03,4.56
imdb,tmdb,D5,openhermes-tf-p2,404.40,65.68,94.66,77.55,1.00,vector_based_examples_dict_1,2727,66.47,4.03,4.56
imdb,tmdb,D5,zephyr-z-p2,436.81,79.85,70.98,75.15,0.98,vector_based_examples_dict_1,1661,66.47,4.02,9.10
imdb,tmdb,D5,zephyr-ft-p2,854.40,75.88,35.41,48.29,0.59,vector_based_examples_dict_1,219,66.47,4.28,9.10
imdb,tmdb,D5,zephyr-tf-p2,630.43,81.81,60.84,69.78,0.71,vector_based_examples_dict_1,796,66.47,4.23,9.10
imdb,tmdb,D5,gemma3n-ft-p2,1344.61,77.79,99.21,87.20,1.00,vector_based_examples_dict_2,2413,12.14,4.25,7.43
imdb,tmdb,D5,gemma3n-tf-p2,1343.17,79.99,98.68,88.36,1.00,vector_based_examples_dict_2,2334,9.21,4.31,7.43
imdb,tmdb,D5,qwen2.5-ft-p2,533.04,82.48,94.08,87.90,1.00,vector_based_examples_dict_2,2158,5.24,4.31,4.78
imdb,tmdb,D5,qwen2.5-tf-p2,534.32,81.73,94.56,87.67,1.00,vector_based_examples_dict_2,2189,6.03,3.88,4.78
imdb,tmdb,D5,llama3.1-ft-p2,540.62,55.96,85.31,67.59,1.00,vector_based_examples_dict_2,2884,66.47,3.87,10.01
imdb,tmdb,D5,llama3.1-tf-p2,541.66,53.60,95.56,68.68,1.00,vector_based_examples_dict_2,3373,66.47,4.26,10.01
imdb,tmdb,D5,orca2-ft-p2,391.17,73.81,60.04,66.22,1.00,vector_based_examples_dict_2,1539,11.11,4.26,5.78
imdb,tmdb,D5,orca2-tf-p2,390.20,70.39,65.70,67.96,1.00,vector_based_examples_dict_2,1766,17.33,4.02,5.78
imdb,tmdb,D5,openhermes-ft-p2,397.66,76.66,80.55,78.56,1.00,vector_based_examples_dict_2,1988,11.72,4.01,4.56
imdb,tmdb,D5,openhermes-tf-p2,400.41,78.26,83.35,80.73,1.00,vector_based_examples_dict_2,2015,9.43,3.94,4.56
