D1,D2,responses,s-weight
0,19009,False,0.619845986366272
0,21897,False,0.0
0,9462,False,0.0
1,17828,False,0.7381578087806702
1,1643,False,0.0
1,16447,True,0.8553825616836548
2,11472,False,0.0
2,3384,False,0.0
2,18028,True,0.774563729763031
3,10299,False,0.0
3,4378,True,0.8530861735343933
3,21424,False,0.8342201709747314
4,11725,False,0.7298694849014282
5,6047,False,0.0
5,20932,True,0.8716970086097717
5,10422,False,0.745769202709198
6,9015,True,0.9673612713813782
7,1303,True,0.834133505821228
7,7226,False,0.0
7,21840,False,0.5442949533462524
8,2263,False,0.5938400030136108
8,18908,False,0.7976323366165161
8,10780,False,0.0
9,2456,True,0.8457511067390442
9,476,False,0.0
10,15905,False,0.5270434617996216
10,12841,False,0.0
10,14740,False,0.0
11,7783,False,0.0
11,7666,False,0.0
11,3541,False,0.0
12,6062,False,0.0
12,401,False,0.0
13,9360,False,0.5593277812004089
13,12285,False,0.7328238487243652
14,1699,False,0.8769415616989136
15,17810,False,0.918223798274994
15,17364,True,0.9467528462409972
15,4282,False,0.9089162349700928
16,7991,False,0.0
16,3241,False,0.0
17,11721,False,0.0
17,1761,False,0.0
18,2734,False,0.0
18,11026,False,0.0
19,19596,False,0.768129289150238
19,17429,True,0.8409780263900757
19,13057,False,0.726723313331604
20,16161,False,0.0
20,11936,False,0.0
20,16837,False,0.8289142847061157
21,14835,False,0.7614927291870117
21,7853,True,0.843660831451416
22,21284,False,0.7883743643760681
22,17882,True,0.9220693707466124
22,17391,False,0.9121303558349608
23,20955,False,0.0
23,643,False,0.0
23,8253,False,0.0
24,13450,False,0.4565299749374389
24,12804,True,0.710309624671936
24,10757,False,0.5387718677520752
25,6984,True,0.8927911520004272
25,2544,False,0.6970430016517639
25,21826,False,0.814153790473938
26,15322,False,0.6035081148147583
26,18788,False,0.6277440786361694
26,537,True,0.8587775230407715
27,18635,False,0.0
27,9821,False,0.5376449823379517
27,10473,False,0.5956419110298157
28,1894,False,0.0
28,17011,False,0.572593092918396
28,14112,False,0.792576253414154
29,6031,True,0.7924346923828125
29,22010,False,0.527424693107605
29,8070,False,0.821463406085968
30,11088,True,0.9503656029701232
30,15046,False,0.8771897554397583
30,13118,False,0.7274549007415771
31,18643,False,0.7478753328323364
31,18620,False,0.7092255353927612
31,16173,True,0.6978060007095337
32,11384,False,0.0
32,13381,False,0.0
32,21567,True,0.9146518707275392
33,12551,False,0.5021287202835083
33,6432,False,0.6489909291267395
33,10517,False,0.0
34,5118,False,0.8118762373924255
34,21044,False,0.6703713536262512
34,13062,False,0.7964657545089722
35,16020,False,0.5816142559051514
35,8092,False,0.580223560333252
35,7381,True,0.5381749868392944
36,21331,True,0.8707647919654846
36,599,False,0.5082643628120422
36,2136,False,0.5285768508911133
37,15178,False,0.0
37,2440,True,0.6738613843917847
37,6357,False,0.5269166827201843
38,19129,True,0.7337568998336792
38,21628,False,0.7244640588760376
39,1494,False,0.0
39,10872,True,0.8848687410354614
39,21079,False,0.0
41,21700,False,0.8635185360908508
41,6816,False,0.8346580266952515
41,10802,True,0.8499158024787903
42,13828,False,0.0
42,18839,False,0.7160096168518066
42,172,True,0.817795991897583
43,902,False,0.0
43,130,False,0.0
43,45,True,0.8498580455780029
44,6041,False,0.0
44,13045,False,0.0
45,21787,False,0.0
46,7695,False,0.0
46,15637,False,0.0
46,19698,False,0.576623260974884
47,15950,False,0.0
47,14934,False,0.0
47,1149,False,0.0
48,5920,False,0.6577231287956238
49,8095,False,0.8178821802139282
49,8096,True,0.9308568239212036
49,6064,False,0.8934089541435242
50,16665,False,0.6808102130889893
50,16936,False,0.7316684722900391
50,2013,True,0.7808613777160645
51,11090,False,0.0
51,20622,False,0.0
51,9388,False,0.0
53,17892,True,0.9560840129852296
54,19790,False,0.7063292264938354
54,649,False,0.949926495552063
